"id","created","salarymx","salaryusd","extramx","extrausd","variation","english_num","english_label","age","experience","seniority","country","city","profile","edutype","orgtype","emptype","remote","gender","education","act_dba","act_req","act_arq","act_bi","act_cap","act_datascience","act_spi","act_cons","act_prog","act_mobile","act_front","act_devrel","act_dir","act_doc","act_techwrite","act_infra","act_erp","act_dataeng","act_techsales","act_pm","act_iot","act_infosec","act_soporte","act_test","act_uxd","act_ventas","lang_bash","lang_csharp","lang_clang","lang_cobol","lang_delphi","lang_elixir","lang_go","lang_groovy","lang_java","lang_js","lang_kotlin","lang_perl","lang_php","lang_plsql","lang_python","lang_ruby","lang_rust","lang_scala","lang_swift","lang_vbnet","mobile_phonegap","mobile_flutter","mobile_ionic","mobile_java_android","mobile_java_kotlin","mobile_objc","mobile_reactnative","mobile_swift","mobile_xamarin","front_angular","front_django","front_laravel","front_nextjs","front_react","front_ror","front_semanticui","front_springboot","front_svelte","front_vue","front_xamarin","db_dynamo","db_cosmos","db_cassandra","db_elastic","db_firebasert","db_firestore","db_DB2","db_sqlserver","db_mongoDB","db_mysql","db_neo4j","db_oracle","db_pgsql","db_redis","db_sap","db_snowflake","dsc_alteryx","dsc_sagemaker","dsc_azureml","dsc_dataiku","dsc_datarobot","dsc_domino","dsc_h2o","dsc_spss","dsc_watson","dsc_julia","dsc_keras","dsc_knime","dsc_matlab","dsc_pytorch","dsc_rlang","dsc_rapidminer","dsc_sas","dsc_scikit","dsc_tf","dataeng_athena","dataeng_airflow","dataeng_beam","dataeng_spark","dataeng_databand","dataeng_dbt","dataeng_fivetran","dataeng_greatexp","dataeng_hadoop","dataeng_keboola","infra_ansible","infra_chef","infra_consul","infra_datadog","infra_docker","infra_dynatrace","infra_istio","infra_jenkins","infra_k8s","infra_newrelic","infra_oshift","infra_ostack","infra_puppet","infra_spinnaker","infra_terraform","infra_vmware","cert_agile","cert_android","cert_awsdev","cert_awsarch","cert_ba","cert_cisco","cert_cobit","cert_entarch","cert_cgeit","cert_gcloudarch","cert_gdata","cert_gweb","cert_itilint","cert_itilpra","cert_java","cert_linux","cert_msass","cert_msexp","cert_oracle","cert_pmp","cert_sap","cert_scrum","cert_infosec","cert_sixsigma","cert_testing2","cert_testing1","ben_equity","ben_car","ben_family","ben_edu","ben_bonus","ben_housing","ben_parking","ben_gas","ben_gym","ben_flexhours","ben_homeoffice","ben_loan","ben_healthmajor","ben_healthminor","ben_lifeins","ben_cafeteria","ben_cellphone","ben_vouchers","covid_remoto","covid_salario","covid_carga","covid_apoyo","vacaciones","aguinaldo"
4337,"2021-12-06 14:55:38.498842000",30000,0,0,0,10,1,Elemental: Sé lo básico para sobrevivir (ILR 1),38,4,1,México,Valle de México,godin,online,itservices,hibrido,Y,hombre,universidad,Y,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,remote,desempleo,aumentado,,,
4338,"2021-12-08 00:16:01.592885000",120000,0,200000,0,60,5,Nativo o bilingue (ILR 5),26,4,3,México,Hermosillo,godin,autodidacta,itservices,nomina,Y,hombre,universidad,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,Y,remote,mejor,Igual,,,
4339,"2021-12-08 17:13:23.627792000",70000,0,980000,0,60,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),31,7,0,México,Valle de México,godin,escuela,corp,nomina,N,hombre,maestria,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,Y,,Y,,,Y,remote,mejor,Igual,computadora,,
4340,"2021-12-15 18:34:52.194018000",65000,0,55000,0,2,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),36,10,6,México,Valle de México,godin,escuela,itservices,nomina,N,hombre,universidad,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,remote,mejor,aumentado,computadora,,
4341,"2021-12-15 20:22:14.669153000",0,1000,0,500,50,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),33,1,1,Argentina,Córdoba,godin,autodidacta,isv,nomina,Y,hombre,pasante,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,Y,,,,remote,desempleo,disminuido,"['computadora', 'muebles', 'internet']",,
4342,"2021-12-15 21:37:34.666851000",0,500,0,0,0,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),42,20,2,Perú,Lima,godin,online,itservices,nomina,Y,hombre,pasante,,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,remote,mejor,Igual,computadora,,
4343,"2021-12-23 21:27:44.124539000",52000,0,10000,0,200,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),33,9,1,México,Valle de México,godin,online,corp,nomina,Y,mujer,pasante,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,remote,mejor,aumentado,"['computadora', 'muebles']",,
4344,"2021-12-24 20:08:40.992949000",72000,0,100000,0,10,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),40,30,3,México,Guadalajara,godin,trabajo,itservices,nomina,N,hombre,maestria,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,,,,Y,Y,remote,mejor,Igual,"['computadora', 'muebles', 'internet']",,
4345,"2021-12-25 01:32:53.404011000",76000,0,90000,0,50,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),30,8,0,México,Hermosillo,godin,escuela,itservices,nomina,Y,hombre,universidad,Y,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,,Y,remote,mejor,Igual,"['computadora', 'muebles', 'internet']",,
4346,"2022-01-06 00:51:36.476921000",58000,0,0,0,22,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),38,15,0,México,Mérida,godin,escuela,itservices,nomina,Y,hombre,maestria,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,remote,igual,Igual,computadora,,
