"key","name"
"ansible","Ansible"
"chef","Chef"
"consul","Consul"
"datadog","Datadog"
"docker","Docker"
"dynatrace","Dynatrace"
"istio","Istio"
"jenkins","Jenkins"
"k8s","Kubernetes"
"newrelic","New Relic"
"oshift","OpenShift"
"ostack","OpenStack"
"puppet","Puppet"
"spinnaker","Spinnaker"
"terraform","Terraform"
"vmware","VMware vCloud / vCenter"
